92,Locke,Thomas,The Omega Network,250,Book,Bethany,1995,Fiction,1
93,Roberts,Oral,Oral Roberts Life Story,160,Book,Country Life,1952,Autobiography,1
94,multiple,,Wow Hits 2004,,CD,EMI,2003,Music,1
95,Perez,Benny,Pacesetters,174,Book,Winepress,1996,Encouragement,1
96,Laurie,Greg,The Passion of the Christ,68,Book,Harvest,2004,Ministry,1
97,Tiner,John,Prayers and Promises for Men,212,Book,Barbour,2003,Spirituality,1
98,Pickett,Fuchsia,The Prophetic Romance,147,Book,Creation,1996,Study,1
100,Tozer,A.W.,The Pursuit of God,121,Book,Christian Pub,1993,Spirituality,1
101,Yohannan,K.P.,Revolution in World Missions,212,Book,Gospel for Asia,2002,Evangelism,1
103,Keller,Phillip,A Shepherd Looks at Psalm 23,142,Book,Zondervan,1970,Devotion,1
104,Halberstam,Yitta,Small Miracles,226,Book,Adams,1997,Encouragement,1
105,Burgess,Alan,The Small Woman,256,Book,EP Dutton,1957,Witnessing,1
106,Slaughter,Frank,The Song of Ruth,317,Book,Peoples,1953,Ministry,1
107,Anderson,Don,Song of Solomon,204,Book,Loizeaux,1987,Marriages,1
108,Jakes,TD,So You Call Yourself a Man?,189,Book,Bethany,1997,Devotional,1
109,Johnson,Barbara,Splashes of Joy,228,Book,Word,1992,Encouragement,1
110,Jones,Denise,Steady On-Secured by Love,226,Book,Howard,1998,Devotional,1
111,Gray,Alice,Stories for a Faithful Heart,268,Book,Multinomah,2000,Encouragement,1
112,Sands,Jennifer,A Tempered Faith,181,Book,Olive Press,2003,Encouragement,1
113,Young,William,The Shack,248,Book,Windblown,2007,Fiction,1
114,Womach,Merrill,Tested By Fire,128,Book,Revell,1976,Spirituality,1
115,Colbert,Dr. Don,Toxic Relief,233,Book,Siloam,2001,Counseling,1
116,Bounds,EM,A Treasury of Prayer,192,Book,Bethany,1981,Ministry,1
117,Ferrell,Frank,Trevor's Place,138,Book,Harper,1985,Evangelism,1
119,Abanes,Richard,The Truth Behind the Da Vinci Code,78,Book,Harvest,2004,Theology,1
120,White,Dr. John,Unafraid,173,Book,Mainstay,2004,Ministry,1
121,Bell,Rob,Velvet Elvis,194,Book,Zondervan,2005,Theology,1
122,Sheldon,Garrett,What Would Jesus Do?,186,Book,Broadman,1993,Spirituality,1
124,Cunningham,Loren,Winning God's Way,133,Book,YWAM,1988,Evangelism,1
125,Sanna,Ellyn,With Sincere Gratitude,40,Book,Humble Creek,2002,Encouragement,1
127,Dugan,Robert,Winning the New Civil War,226,Book,Multnomah,1991,Revival,1
129,Finto,Don,Your People Shall be My People,204,Book,Regal,2001,Theology,1
130,Batterson,Mark,Wild Goose Chase,176,Book,Multinomah,2008,Spiritual,1
132,Strand,Robert,Mini Moments for Mothers,111,Book,New Leaf,2000,Encouragement,1
134,Leininger,James,The Beginners Bible,526,Book,Zondervan,1989,Children,1
135,Boultinghouse,Philis,Prayers and Promises for Women,86,Book,Howard,2004,Devotion,1
136,multiple,,Angels in Our Lives,320,Book,Pub Int,1989,Spirituality,1
137,Schwarz,Christian,The Three Colors of Ministry,154,Book,Church Smart,2001,Ministry,1
138,Hurnard,Hannah,Mountains of Spices,250,Book,Living Books,1988,Spirituality,1
139,Blackaby,Henry,Anointed to be God's Servants,188,Book,Nelson,2005,Apostle,1
143,McGraw,Robin,Inside My Heart,223,Book,Nelson,2006,Encouragement,1
144,Chapman,Gary,The Five Love Languages,203,Book,Northfield,2004,Relationships,1
145,Dukes,Earl,Perhaps,187,Book,Inkwater,2007,Ministry,1
146,,,The Wonderful Wizard of Ha's,49 min,DVD,Big Idea,2007,Children,1
149,Pierce,Chonda,Stayin' Alive...Laughing,unk,DVD,NW records,2007,Humor,1
405,Lucado,Max,In the Grip of Grace,235,Book,Word,1996,Spiritual,1
150,Renfroe,Anita,Purse-Onality,unk,DVD,Crown Comedy,2005,Humor,1
151,Smith,Michael W.,The Second Chance,103 min,DVD,Sony,2006,Fiction,1
152,,,The Perfect Stranger,86 min,DVD,Kelly's Film,2006,Fiction,1
153,multiple,multiple,Dwell,unk,DVD,Vineyard,2006,Worship,1
154,Larson,Rick,The Star of Bethlehem,65 min,DVD,Mpower,2007,Christmas,1
155,Lewis,Beverly,Saving Sarah Cain,103 min,DVD,Believe Pic,2007,Fiction,1
157,Stepanek,Mattie,Heartsongs,,Book,Hyperion,2001,Encouragement,1
160,Bennett,William,The Book of Virtues,818,Book,Simon,1993,Spirituality,1
161,Lucado,Max,Jacob's Gift,,Book,Nelson,1998,Christmas,1
163,Joslin,Mary,The Fourth Wise Man,,Book,Cook,2007,Christmas,1
164,Voiland,Stephanie,The Nativity Story,85,Book,Tyndale,2004,Christmas,1
165,Henry,Juliann,The Little Shepherd Girl,,Book,Cook,2007,Christmas,1
168,multiple,,Exodus,,CD,Rocketown,1998,Music,1
169,Clancy,Ron,Best-Loved Christmas Carols,109,Book-CD,Sterling,2006,Christmas,1
171,Buchan,Angus,Faith Like Potatoes,174,Book,Monarch,2006,Encouragement,1
172,Barnes,Cyril,Bible Quizzes and Puzzles,80,Book,Halo,1995,Games,1
173,Allen,Edith,Bible Games,80,Book,Halo,1995,Games,1
174,Seagrist,Edward,Bible Word Search Puzzles,79,Book,Halo,1995,Games,1
176,McGeady,Sr Mary Rose,God's Lost Children,123,Book,Covenant,1991,Relationships,1
177,Zuck,Roy,Spirit-Filled Teaching,202,Book,Word,1998,Ministry,1
170,Howard,Greg,Christmas Collection,,CD,Spring Hill,2000,Christmas,1
162,Lucado,Max,An Angel's Story,64,Book,Nelson,2002,Christmas,1
179,Anderson,Ken,Where to Find It in the Bible,580,Book,Nelson,1996,Resource,1
180,,,The Pineapple Story,39,Book,Basic Youth,1978,Teens,1
181,,,The Eagle Story,64,Book,Rand McNally,1984,Teens,1
182,Alcorn,Randy,Heaven,533,Book,Tyndale,2004,Theology,1
184,Alcorn,Randy,The Treasure Principal,96,Book,Multinomah,2001,Ministry,1
186,Bryant,David,Christ Is All!,401,Book,New Providence,2005,Ministry,1
187,Sherrill,John,He Still Speaks Today,149,Book,YWAM,1997,Spirituality,1
188,Beeson,Ray,The Real Battle,244,Book,Tyndale,1988,Spirituality,1
189,Tobias,Cynthia,The Way They Learn,168,Book,Tyndale,1994,Parenting,1
190,Johnson,Phillip,Defeating Darwinism,131,Book,IVP,1997,Study,1
191,Lang,J. Stephen,The Complete Book of Bible Trivia,504,Book,Tyndale,1988,Games,1
192,Bauer,Gary,Our Hopes Our Dreams,164,Book,Focus,1996,Encouragement,1
193,multiple,,God's Little Devotional for Graduates,315,Book,Honor,1995,Devotional,1
194,Bauer,Gary,Doing Things Right,195,Book,Word,2001,Encouragement,1
195,Brunstetter,Wanda,Going Home,286,Book,Barbour,2007,Fiction,1
196,Brunstetter,Wanda,A Sister's Test,287,Book,Barbour,2007,Fiction,1
197,Brunstetter,Wanda,A Sister's Secret,299,Book,Barbour,2007,Fiction,1
199,,,Veggie Tales: God Wants Me to Forgive Them?,30 min,DVD,Word,2004,Childrens,1
200,,,Veggie Tales: Are You My Neighbor?,31 min,DVD,Word,2006,Childrens,1
201,,,Veggie Tales: Sumo of the Opera,50 min,DVD,Word,2004,Childrens,1
202,Catt,Michael,Fireproof,119 min,DVD,Affirm,2009,Marriages,1
203,Lucado,Max,The Christmas Child,49,Book,Word,2003,Christmas,1
204,Lucado,Max,The Christmas Candle,192,Book,Nelson,2006,Christmas,1
205,Chapman,Gary,The Other Side of Love,183,Book,Moody,1999,Counseling,1
206,Chapman,Gary,Love as a Way of Life,248,Book,Waterbrook,2008,Relationships,1
208,Colson,Charles,A Dangerous Grace,332,Book,Word,1994,Devotional,1
209,Colson,Charles,The Faith,241,Book,Zondervan,2008,Apologetics,1
210,Colson,Charles,Gideon's Torch,554,Book,Word,1995,Fiction,1
212,Colson,Charles,Life Sentence,306,Book,Word,1979,Ministry,1
215,Dekker,Ted,Blessed Child,348,Book,Word,2001,Fiction,1
219,Colson,Charles,A Dance with Deception,286,Book,Word,1993,Theology,1
220,Dobson,James,The New Strong Willed Child,213,Book,Tyndale,2004,Parenting,1
221,Dobson,James,Stories of the Heart and Home,256,Book,Word,2000,Encouragement,1
222,Dobson,James,Solid Answers,550,Book,Tyndale,1997,Counseling,1
223,Dobson,James,Parenting Isn't for Cowards,231,Book,Word,1987,Parenting,1
224,Dobson,James,The New Hide or Seek,229,Book,Revell,1999,Parenting,1
225,Dobson,James,Children at Risk,270,Book,Word,1990,Parenting,1
226,Dobson,James,Dr. Dobson Answers Your Questions,508,Book,Guideposts,1983,Counseling,1
227,Dobson,James,The New Dare to Discipline,267,Book,Tyndale,1992,Parenting,1
228,Dobson,James,Night Light,298,Book,Multnomah,2000,Devotional,1
229,Smithouser,Bob,Chart Watch,332,Book,Tyndale,1998,Resource,1
